Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-20 07:00:00,8306.91,8351.87,8300.39,8321,668.31,5567843.2,8331.17
2018-04-20 08:00:00,8327.09,8349.67,8295.92,8305.21,358.17,2981913.57,8325.51
2018-04-20 09:00:00,8305.22,8333.14,8283.16,8315,268.74,2233397.7,8310.48
2018-04-20 10:00:00,8313,8546.31,8300.22,8488.98,2426.94,20495054.99,8444.8
2018-04-20 11:00:00,8484.42,8536.5,8481.55,8523.78,784.89,6680385.68,8511.26
2018-04-20 12:00:00,8520,8567.68,8500.01,8524.59,741.87,6334880.78,8539.05
2018-04-20 13:00:00,8520.21,8540,8469.65,8505,780.85,6643447.08,8507.93
2018-04-20 14:00:00,8505,8515,8480,8490.11,324.13,2754951.29,8499.45
2018-04-20 15:00:00,8492.12,8498.44,8441.34,8463.15,395.07,3345453.74,8468.11
2018-04-20 16:00:00,8469.46,8514.77,8453.5,8514.76,513.67,4363410.36,8494.59
2018-04-20 17:00:00,8514.98,8520,8479.73,8494.49,229.56,1952204.45,8504.04
2018-04-20 18:00:00,8494.49,8540,8475.91,8497.69,423.55,3603407.41,8507.58
2018-04-20 19:00:00,8505.13,8545.6,8496.96,8511.04,273.7,2332087.15,8520.49
2018-04-20 20:00:00,8515.26,8530.12,8480,8525.26,409.06,3478698.19,8504.03
2018-04-20 21:00:00,8518.7,8549,8501.62,8503,329.1,2806518.19,8527.84
2018-04-20 22:00:00,8518.99,8934,8503,8855.14,2006.98,17590042.78,8764.43
2018-04-20 23:00:00,8840.5,8896.38,8784.3,8861,879.17,7768079.19,8835.74
2018-04-21 00:00:00,8865.78,8866.69,8797.35,8818.79,474.6,4190842.24,8830.22
2018-04-21 01:00:00,8818.79,8825.4,8770,8821,433.13,3810874.93,8798.41
2018-04-21 02:00:00,8823.97,8867.9,8800.04,8841.97,750.12,6626666.75,8834.13
