Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-07-11 05:00:00,6347.18,6349,6290.07,6337.94,496.78,3142247.09,6325.29
2018-07-11 06:00:00,6339.77,6349,6285,6310.75,370.21,2334908.39,6307.04
2018-07-11 07:00:00,6307.01,6365.34,6306.66,6348.35,292.43,1852064.62,6333.38
2018-07-11 08:00:00,6348.43,6375.12,6343.37,6367.25,183.88,1169387.44,6359.53
2018-07-11 09:00:00,6368.14,6376.07,6320,6341.93,180.38,1144051.15,6342.6
2018-07-11 10:00:00,6338.73,6352.76,6320.68,6346.74,98.7,625785.95,6340.06
2018-07-11 11:00:00,6346.74,6397.21,6341.23,6374.5,311.06,1982035.1,6371.9
2018-07-11 12:00:00,6377.08,6388.67,6349.93,6369.94,162.46,1033356.18,6360.66
2018-07-11 13:00:00,6370.33,6396.26,6359.86,6372.31,414.21,2642648.72,6380.02
2018-07-11 14:00:00,6370.4,6373.55,6336.5,6364.74,213.19,1354805,6354.84
2018-07-11 15:00:00,6364.74,6369.65,6350,6361.51,196.35,1248900.09,6360.68
2018-07-11 16:00:00,6362.04,6364.94,6326.76,6345.93,177.23,1124136.88,6342.79
2018-07-11 17:00:00,6342.72,6371.45,6341.37,6351.79,194.5,1236655.99,6358.09
2018-07-11 18:00:00,6353.73,6359.56,6337.44,6342.96,107.86,684711.31,6348.41
2018-07-11 19:00:00,6342.97,6354.19,6291,6350,986.73,6231532.37,6315.33
2018-07-11 20:00:00,6352.99,6370,6345.76,6356.48,126.46,804221.55,6359.53
2018-07-11 21:00:00,6350.85,6378.47,6345,6361.93,259.1,1646353.87,6354.12
2018-07-11 22:00:00,6362.36,6381.25,6356.74,6368.78,81.54,519278.69,6368.23
2018-07-11 23:00:00,6369.49,6381.25,6361.83,6380,124.55,793560.22,6371.51
2018-07-12 00:00:00,6379.13,6380,6347.72,6365.43,141.5,900280.85,6362.32
2018-07-12 01:00:00,6365.24,6371.8,6324.48,6327.94,141.3,896772.74,6346.8
2018-07-12 02:00:00,6328.4,6348.45,6302.18,6326.98,162.37,1026431.72,6321.37
2018-07-12 03:00:00,6327.49,6343.22,6327.49,6339.5,58.62,371327.65,6334.79
2018-07-12 04:00:00,6342.22,6344.57,6328,6333.05,74.75,473450.28,6333.6
2018-07-12 05:00:00,6333.05,6335.55,6305,6329.57,130.84,827194.5,6322.39
2018-07-12 06:00:00,6329.9,6334.74,6177.45,6217.63,1211.64,7536289.75,6219.89
2018-07-12 07:00:00,6217.03,6223.14,6131.35,6180.5,758.15,4677685.75,6169.89
2018-07-12 08:00:00,6180.46,6200.82,6085.59,6200.82,1090.25,6719480.12,6163.23
2018-07-12 09:00:00,6200.23,6205,6175.01,6185.82,289.87,1794667.77,6191.34
2018-07-12 10:00:00,6185.4,6187.99,6157.03,6175.18,212.3,1310453.07,6172.68
2018-07-12 11:00:00,6174.5,6182.13,6144.35,6162.41,261.02,1608275.15,6161.49
2018-07-12 12:00:00,6167.17,6191.99,6155,6180.31,246.37,1522744.15,6180.8
2018-07-12 13:00:00,6180.3,6183.99,6170.99,6182.99,258.89,1599120.65,6176.86
2018-07-12 14:00:00,6182.98,6199.57,6173.5,6180.97,275,1700530.69,6183.74
2018-07-12 15:00:00,6178.59,6182.55,6159.01,6169.51,166.21,1025666.81,6171.06
2018-07-12 16:00:00,6168.44,6192.89,6166.78,6181.23,342.08,2115989.77,6185.57
2018-07-12 17:00:00,6184.08,6189,6167.64,6179.12,168.14,1039237.28,6180.8
